4kb,56kb
0.01654505729675293,0.014667749404907227
0.014464855194091797,0.022175073623657227
0.012555122375488281,0.015116691589355469
0.012324810028076172,0.02020406723022461
0.01040506362915039,0.015025854110717773
0.015373945236206055,0.017579078674316406
0.017108917236328125,0.012881994247436523
0.012199163436889648,0.014243125915527344
0.012723922729492188,0.012428045272827148
0.012950897216796875,0.013448953628540039
0.012417793273925781,0.014348030090332031
0.014091014862060547,0.029085159301757812
0.012372970581054688,0.012182950973510742
0.011152982711791992,0.01244497299194336
0.016826152801513672,0.012060880661010742
0.011901140213012695,0.012629985809326172
0.013347864151000977,0.011445999145507812
0.011197090148925781,0.013596296310424805
0.012096881866455078,0.023278236389160156
0.012411832809448242,0.02138495445251465
0.010831832885742188,0.013096809387207031
0.012590885162353516,0.022424697875976562
0.010562896728515625,0.011728286743164062
0.014322042465209961,0.018537044525146484
0.012808084487915039,0.012171030044555664
0.011990070343017578,0.015861034393310547
0.012178182601928711,0.011873006820678711
0.01057291030883789,0.01101994514465332
0.011811971664428711,0.013430118560791016
0.01200103759765625,0.020504236221313477
0.010801076889038086,0.02112269401550293
0.020734071731567383,0.015330076217651367
0.018098831176757812,0.012868881225585938
0.012292861938476562,0.012428998947143555
0.012948036193847656,0.012230157852172852
0.011878013610839844,0.011439800262451172
0.024461030960083008,0.014074087142944336
0.013913154602050781,0.014409065246582031
0.017765045166015625,0.0130767822265625
0.020763874053955078,0.013057947158813477
0.022784948348999023,0.01460719108581543
0.01294708251953125,0.02228093147277832
0.012979984283447266,0.013061285018920898
0.01263880729675293,0.016662120819091797
0.012453079223632812,0.01488494873046875
0.011295080184936523,0.014585733413696289
0.012101888656616211,0.013844013214111328
0.009849071502685547,0.016163110733032227
0.012132883071899414,0.014419078826904297
0.010444164276123047,0.013852119445800781
0.01019906997680664,0.01145792007446289
0.01785588264465332,0.015803813934326172
0.014492034912109375,0.012421131134033203
0.010492086410522461,0.010885238647460938
0.010934114456176758,0.08870410919189453
0.01169276237487793,0.020473957061767578
0.01630401611328125,0.013604879379272461
0.01795506477355957,0.02253580093383789
0.09162116050720215,0.012385845184326172
0.053527116775512695,0.030103206634521484
0.0159759521484375,0.016506195068359375
0.014256954193115234,0.024447917938232422
0.015268087387084961,0.011921882629394531
0.02227783203125,0.013285160064697266
0.011818170547485352,0.018290042877197266
0.013386964797973633,0.02759099006652832
0.01647496223449707,0.016687870025634766
0.01526498794555664,0.014272928237915039
0.013961315155029297,0.013084173202514648
0.013310909271240234,0.014569997787475586
0.016589879989624023,0.015613794326782227
0.01146388053894043,0.014033794403076172
0.015681028366088867,0.013305187225341797
0.015249967575073242,0.022121906280517578
0.017954111099243164,0.022475004196166992
0.01836872100830078,0.021514892578125
0.02041792869567871,0.017493009567260742
0.019940853118896484,0.020113229751586914
0.013265132904052734,0.014718055725097656
0.02077484130859375,0.015039920806884766
0.014686107635498047,0.02409195899963379
0.030381202697753906,0.014615774154663086
0.05032086372375488,0.02621603012084961
0.012434005737304688,0.01725172996520996
0.014677047729492188,0.017549991607666016
0.017837047576904297,0.017482995986938477
0.013876914978027344,0.02502608299255371
0.016263961791992188,0.013667106628417969
0.01316213607788086,0.030189037322998047
0.018687009811401367,0.024589061737060547
0.040743112564086914,0.017017841339111328
0.01833796501159668,0.01566910743713379
0.0220947265625,0.016722917556762695
0.021095991134643555,0.059136152267456055
0.010669946670532227,0.0149078369140625
0.013381004333496094,0.04936075210571289
0.016284704208374023,0.015275001525878906
0.013983011245727539,0.018614768981933594
0.03249382972717285,0.021541833877563477
0.015116214752197266,0.017276763916015625
